Hate Speech,Target,Category,Counterspeech
This migrant invasion is unaceptable.,MIGRANTS,Positive,"If they are welcomed, they will integrate. If not, they will stay as if are in their country of origin: persecuted."
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,JEWS,Denouncing,You are in the wrong here if you think Brexit is in any way good for the combined population of EU. Get your facts straight before dumping your opinions on the internet.
Islam is incompatible with the modern world.,MUSLIMS,Facts,"there is not such thing as ""modern world"", but there is 21th century Europe. And Islam is a contributing part of the 21th century Europe."
"We need to put an end to Down Syndrome in the UK, otherwise we are doomed to genetic and social decline.",DISABLED,Denouncing,Social decline only happens when people like you voice their hatred online without having the proper knowledge about this very real disability.
Every Muslim is a potential terrorist.,MUSLIMS,Question,"I think this is a very inconsiderate thing to say, would you say the same thing about non-Muslims as well??"
Muslims are stupid.,MUSLIMS,Question,Why do you think that? Surely there must be a reason?
Islam is incompatible with Western civilization.,MUSLIMS,Facts,The overwhelming majority of Muslims in the West are in favor of an open and multicultural society.
Jews are nothing but monsters. They do not share our values.,JEWS,Positive,Being tolerant to people of other religions or cultures: that is what the freedom of religion is all about!
Let's kick immigrants out and keep their children.,MIGRANTS,Humor,"Yeah sure let's do some light money laundering while we're at it, after all you're suggesting crimes."
Women are trash and we should have their respect!,WOMEN,Facts,There is a problem with traditional values and sexual ethics in our society. Saying that women are trash is disrespectful in the first place. Give and you will be given.
Lesbian women dress like men.,LGBT+,Facts,"That's not how it works, lesbians can also be 'ladylike'. In fact sometimes they are coerced to be very cautious about how they dress, because - unfortunately - some of their outfits can be dangerous attracting hate and bullying."
You might as well tell black people they are the n-word because then they would learn the hard way.,POC,Facts,"Many people, myself included, have never had negative experiences with people of colour."
"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",JEWS,Facts,"You can have parents and grandparents born elsewhere, and still be a patriot for the country you were born in."
The migrant crisis in our country is a Muslim problem.,MUSLIMS,Question,Please help us to understand what's really going on here. Why is it a Muslim problem?
Immigration is the biggest problem in the UK.,MIGRANTS,Question,"How big is the immigration problem? Do you measure it in square kilometers? I am not sure, maybe you should show me your reference for this claim."
Woman are basically childlike.,WOMEN,Facts,They are not childlike and are capable of great achievements.
"I think that a Muslim has nothing to contribute to our society, if we could just get rid of them, this will be great.",MUSLIMS,Question,"Also, there is no evidence for what you say, so why do you think this information is reliable?"
